x,y
39.82,10.79
38.16,11.01
36.33,11.09
34.54,11.75
31.31,11.49
25.68,11.84
17.78,13.98
13.72,17.77
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
42.92,27.24
